Date,Country,Import Volumn
2019 Jan,Japan(Thousand Dollars),2228179
2019 Jan,Jamaica(Thousand Dollars),57
2019 Jan,Italy(Thousand Dollars),501477
2019 Jan,Israel(Thousand Dollars),56398
2019 Jan,Ireland(Thousand Dollars),81991
2019 Jan,Iran (Islamic Republic Of)(Thousand Dollars),882
2019 Jan,Indonesia(Thousand Dollars),1747206
2019 Jan,India(Thousand Dollars),594289
2019 Jan,Hungary(Thousand Dollars),30319
2019 Jan,Hong Kong(Thousand Dollars),302394
2019 Jan,Honduras(Thousand Dollars),215
2019 Jan,Guatemala(Thousand Dollars),5619
2019 Jan,Guam(Thousand Dollars),10
2019 Jan,Grenada(Thousand Dollars),0
2019 Jan,Greece(Thousand Dollars),92135
2019 Jan,"Germany, Federal Republic Of(Thousand Dollars)",1102644
2019 Jan,"Germany, Democratic Republic Of(Thousand Dollars)",0
2019 Jan,French Southern Territories(Thousand Dollars),3
2019 Jan,French Polynesia(Thousand Dollars),350
2019 Jan,French Guiana(Thousand Dollars),0
2019 Jan,France(Thousand Dollars),1314599
2019 Jan,Finland(Thousand Dollars),37294
2019 Jan,Fiji(Thousand Dollars),474
2019 Jan,European Union(Million Dollars),4418.9
2019 Jan,Europe(Million Dollars),7489.3
2019 Jan,Estonia(Thousand Dollars),54600
2019 Jan,Ecuador(Thousand Dollars),2354
2019 Jan,Denmark(Thousand Dollars),53083
2019 Jan,Democratic People's Republic Of Korea(Thousand Dollars),0
2019 Jan,Czech Republic(Thousand Dollars),55558
2019 Jan,Cyprus(Thousand Dollars),1465
2019 Jan,Cook Islands(Thousand Dollars),30
2019 Jan,Commonwealth Of Independent States(Thousand Dollars),1171918
2019 Jan,Colombia(Thousand Dollars),52328
2019 Jan,Cocos (Keeling) Islands(Thousand Dollars),0
2019 Jan,Chile(Thousand Dollars),13145
2019 Jan,Canada(Thousand Dollars),207520
2019 Jan,Cambodia(Thousand Dollars),15628
2019 Jan,Brunei Darussalam(Thousand Dollars),56660
2019 Jan,Brazil(Thousand Dollars),95180
2019 Jan,Bermuda(Thousand Dollars),706
2019 Jan,Belgium(Thousand Dollars),142735
2019 Jan,Bangladesh(Thousand Dollars),34522
2019 Jan,Bahrain(Thousand Dollars),66389
2019 Jan,Bahamas(Thousand Dollars),135
2019 Jan,Austria(Thousand Dollars),88981
2019 Jan,Australia(Thousand Dollars),533878
2019 Jan,Asia(Million Dollars),27643.4
2019 Jan,Argentina(Thousand Dollars),13201
2019 Jan,Anguilla(Thousand Dollars),0
2019 Jan,America(Million Dollars),5543.6
2019 Jan,Africa(Million Dollars),262.8
2019 Jan,Afghanistan(Thousand Dollars),1
2019 Jul,Yemen(Thousand Dollars),311
2019 Jul,Yemen Democratic(Thousand Dollars),0
2019 Jul,Wallis & Fatuna Islands(Thousand Dollars),0
2019 Jul,"Vietnam, Socialist Republic Of(Thousand Dollars)",497978
2019 Jul,Venezuela(Thousand Dollars),73091
2019 Jul,Uruguay(Thousand Dollars),1840
2019 Jul,United States(Thousand Dollars),5126322
2019 Jul,United Kingdom(Thousand Dollars),881698
2019 Jul,United Arab Emirates(Thousand Dollars),2073951
2019 Jul,Tuvalu(Thousand Dollars),0
2019 Jul,Trinidad & Tobago(Thousand Dollars),61
2019 Jul,Total Merchandise Imports(Thousand Dollars),42030046
2019 Jul,Thailand(Thousand Dollars),1081547
2019 Jul,Taiwan(Thousand Dollars),3917960
2019 Jul,Syrian Arab Republic(Thousand Dollars),0
2019 Jul,Switzerland(Thousand Dollars),657288
2019 Jul,Sweden(Thousand Dollars),124470
2019 Jul,St Vincent & The Grenadines(Thousand Dollars),1
2019 Jul,Sri Lanka(Thousand Dollars),7850
2019 Jul,Spain(Thousand Dollars),153280
2019 Jul,South Sudan(Thousand Dollars),1
2019 Jul,Solomon Islands(Thousand Dollars),725
2019 Jul,Slovenia(Thousand Dollars),7268
2019 Jul,Slovak Republic (Slovakia)(Thousand Dollars),9917
2019 Jul,Saudi Arabia(Thousand Dollars),1010747
2019 Jul,Republic Of Korea(Thousand Dollars),1438297
2019 Jul,Qatar(Thousand Dollars),560630
2019 Jul,Puerto Rico(Thousand Dollars),8002
2019 Jul,Portugal(Thousand Dollars),36226
2019 Jul,Poland(Thousand Dollars),46819
2019 Jul,Philippines(Thousand Dollars),755744
2019 Jul,Peru(Thousand Dollars),1934
2019 Jul,Paraguay(Thousand Dollars),89
2019 Jul,Papua New Guinea(Thousand Dollars),39841
2019 Jul,Panama(Thousand Dollars),54186
2019 Jul,Palau(Thousand Dollars),79
2019 Jul,Pakistan(Thousand Dollars),12205
2019 Jul,Other Countries In Oceania(Thousand Dollars),2845
2019 Jul,Other Countries In America(Thousand Dollars),20310
2019 Jul,Oman(Thousand Dollars),7275
2019 Jul,Oceania(Million Dollars),815.3
2019 Jul,Norway(Thousand Dollars),48101
2019 Jul,Norfolk Island(Thousand Dollars),0
2019 Jul,Niue(Thousand Dollars),0
2019 Jul,New Zealand(Thousand Dollars),107408
2019 Jul,New Caledonia(Thousand Dollars),50
2019 Jul,Netherlands(Thousand Dollars),298550
2019 Jul,Netherlands Antilles(Thousand Dollars),840
2019 Jul,Nepal(Thousand Dollars),290
2019 Jul,Nauru(Thousand Dollars),3
2019 Jul,Myanmar(Thousand Dollars),11881
2019 Jul,Micronesia(Thousand Dollars),0
2019 Jul,Mexico(Thousand Dollars),288105
2019 Jul,Malta(Thousand Dollars),16597
2019 Jul,"Maldives, Republic Of(Thousand Dollars)",80
2019 Jul,Malaysia(Thousand Dollars),4898954
2019 Jul,Mainland China(Thousand Dollars),5612189
2019 Jul,Macau(Thousand Dollars),941
2019 Jul,Luxembourg(Thousand Dollars),7249
2019 Jul,Lithuania(Thousand Dollars),110630
2019 Jul,Liechtenstein(Thousand Dollars),3593
2019 Jul,Lebanon(Thousand Dollars),69
2019 Jul,Latvia(Thousand Dollars),3147
2019 Jul,Laos People's Democratic Republic(Thousand Dollars),1349
2019 Jul,Kuwait(Thousand Dollars),95229
2019 Jul,Kiribati(Thousand Dollars),5
2019 Jul,Jordan(Thousand Dollars),5358
2019 Jul,Japan(Thousand Dollars),2149471
2019 Jul,Jamaica(Thousand Dollars),12
2019 Jul,Italy(Thousand Dollars),486021
2019 Jul,Israel(Thousand Dollars),85640
2019 Jul,Ireland(Thousand Dollars),93976
2019 Jul,Iran (Islamic Republic Of)(Thousand Dollars),120
2019 Jul,Indonesia(Thousand Dollars),1946313
2019 Jul,India(Thousand Dollars),782744
2019 Jul,Hungary(Thousand Dollars),33065
2019 Jul,Hong Kong(Thousand Dollars),246766
2019 Jul,Honduras(Thousand Dollars),156
2019 Jul,Guatemala(Thousand Dollars),4637
2019 Jul,Guam(Thousand Dollars),78
2019 Jul,Grenada(Thousand Dollars),4
2019 Jul,Greece(Thousand Dollars),12095
2019 Jul,"Germany, Federal Republic Of(Thousand Dollars)",1194530
2019 Jul,"Germany, Democratic Republic Of(Thousand Dollars)",0
2019 Jul,French Southern Territories(Thousand Dollars),0
2019 Jul,French Polynesia(Thousand Dollars),272
2019 Jul,French Guiana(Thousand Dollars),57
2019 Jul,France(Thousand Dollars),1377160
2019 Jul,Finland(Thousand Dollars),41773
2019 Jul,Fiji(Thousand Dollars),629
2019 Jul,European Union(Million Dollars),4416.3
2019 Jul,Europe(Million Dollars),6325.3
2019 Jul,Estonia(Thousand Dollars),1954
2019 Jul,Ecuador(Thousand Dollars),1186
2019 Jul,Denmark(Thousand Dollars),53531
2019 Jul,Democratic People's Republic Of Korea(Thousand Dollars),0
2019 Jul,Czech Republic(Thousand Dollars),57884
2019 Jul,Cyprus(Thousand Dollars),1741
2019 Jul,Cook Islands(Thousand Dollars),4
2019 Jul,Commonwealth Of Independent States(Thousand Dollars),316063
2019 Jul,Colombia(Thousand Dollars),31557
2019 Jul,Cocos (Keeling) Islands(Thousand Dollars),2
2019 Jul,Chile(Thousand Dollars),7288
2019 Jul,Canada(Thousand Dollars),163895
2019 Jul,Cambodia(Thousand Dollars),710628
2019 Jul,Brunei Darussalam(Thousand Dollars),60552
2019 Jul,Brazil(Thousand Dollars),193820
2019 Jul,Bermuda(Thousand Dollars),58
2019 Jul,Belgium(Thousand Dollars),140243
2019 Jul,Bangladesh(Thousand Dollars),25240
2019 Jul,Bahrain(Thousand Dollars),2256
2019 Jul,Bahamas(Thousand Dollars),8
2019 Jul,Austria(Thousand Dollars),84988
2019 Jul,Australia(Thousand Dollars),665913
2019 Jul,Asia(Million Dollars),28473.3
2019 Jul,Argentina(Thousand Dollars),8791
2019 Jul,Anguilla(Thousand Dollars),43
2019 Jul,America(Million Dollars),5986.2
2019 Jul,Africa(Million Dollars),430
2019 Jul,Afghanistan(Thousand Dollars),17
2019 Jun,Yemen(Thousand Dollars),88
2019 Jun,Yemen Democratic(Thousand Dollars),0
2019 Jun,Wallis & Fatuna Islands(Thousand Dollars),0
2019 Jun,"Vietnam, Socialist Republic Of(Thousand Dollars)",391142
2019 Jun,Venezuela(Thousand Dollars),7
2019 Jun,Uruguay(Thousand Dollars),9799
2019 Jun,United States(Thousand Dollars),5125441
2019 Jun,United Kingdom(Thousand Dollars),852706
2019 Jun,United Arab Emirates(Thousand Dollars),1208720
2019 Jun,Tuvalu(Thousand Dollars),0
2019 Jun,Trinidad & Tobago(Thousand Dollars),36073
2019 Jun,Total Merchandise Imports(Thousand Dollars),38979868
2019 Jun,Thailand(Thousand Dollars),1225469
2019 Jun,Taiwan(Thousand Dollars),3577342
2019 Jun,Syrian Arab Republic(Thousand Dollars),14
2019 Jun,Switzerland(Thousand Dollars),668810
2019 Jun,Sweden(Thousand Dollars),123571
2019 Jun,St Vincent & The Grenadines(Thousand Dollars),35072
2019 Jun,Sri Lanka(Thousand Dollars),8352
2019 Jun,Spain(Thousand Dollars),112776
2019 Jun,South Sudan(Thousand Dollars),0
2019 Jun,Solomon Islands(Thousand Dollars),0
2019 Jun,Slovenia(Thousand Dollars),7107
2019 Jun,Slovak Republic (Slovakia)(Thousand Dollars),9608
2019 Jun,Saudi Arabia(Thousand Dollars),980460
2019 Jun,Republic Of Korea(Thousand Dollars),1470255
2019 Jun,Qatar(Thousand Dollars),634593
2019 Jun,Puerto Rico(Thousand Dollars),36746
2019 Jun,Portugal(Thousand Dollars),41594
2019 Jun,Poland(Thousand Dollars),55726
2019 Jun,Philippines(Thousand Dollars),747659
2019 Jun,Peru(Thousand Dollars),1032
2019 Jun,Paraguay(Thousand Dollars),50
2019 Jun,Papua New Guinea(Thousand Dollars),1406
2019 Jun,Panama(Thousand Dollars),46
2019 Jun,Palau(Thousand Dollars),49
2019 Jun,Pakistan(Thousand Dollars),6889
2019 Jun,Other Countries In Oceania(Thousand Dollars),525
2019 Jun,Other Countries In America(Thousand Dollars),19223
2019 Jun,Oman(Thousand Dollars),20415
2019 Jun,Oceania(Million Dollars),503.7
2019 Jun,Norway(Thousand Dollars),73345
2019 Jun,Norfolk Island(Thousand Dollars),0
2019 Jun,Niue(Thousand Dollars),0
2019 Jun,New Zealand(Thousand Dollars),59810
2019 Jun,New Caledonia(Thousand Dollars),26
2019 Jun,Netherlands(Thousand Dollars),270901
2019 Jun,Netherlands Antilles(Thousand Dollars),48
2019 Jun,Nepal(Thousand Dollars),125
2019 Jun,Nauru(Thousand Dollars),0
2019 Jun,Myanmar(Thousand Dollars),12389
2019 Jun,Micronesia(Thousand Dollars),0
2019 Jun,Mexico(Thousand Dollars),241869
2019 Jun,Malta(Thousand Dollars),18712
2019 Jun,"Maldives, Republic Of(Thousand Dollars)",27
2019 Jun,Malaysia(Thousand Dollars),4233791
2019 Jun,Mainland China(Thousand Dollars),5061627
2019 Jun,Macau(Thousand Dollars),930
2019 Jun,Luxembourg(Thousand Dollars),9804
2019 Jun,Lithuania(Thousand Dollars),11395
2019 Jun,Liechtenstein(Thousand Dollars),2164
2019 Jun,Lebanon(Thousand Dollars),121
2019 Jun,Latvia(Thousand Dollars),4638
2019 Jun,Laos People's Democratic Republic(Thousand Dollars),418
2019 Jun,Kuwait(Thousand Dollars),235806
2019 Jun,Kiribati(Thousand Dollars),5
2019 Jun,Jordan(Thousand Dollars),2597
2019 Jun,Japan(Thousand Dollars),2054406
2019 Jun,Jamaica(Thousand Dollars),28
2019 Jun,Italy(Thousand Dollars),420572
2019 Jun,Israel(Thousand Dollars),47538
2019 Jun,Ireland(Thousand Dollars),75391
2019 Jun,Iran (Islamic Republic Of)(Thousand Dollars),501
2019 Jun,Indonesia(Thousand Dollars),1713916
2019 Jun,India(Thousand Dollars),509622
2019 Jun,Hungary(Thousand Dollars),31744
2019 Jun,Hong Kong(Thousand Dollars),362273
2019 Jun,Honduras(Thousand Dollars),756
2019 Jun,Guatemala(Thousand Dollars),5009
2019 Jun,Guam(Thousand Dollars),16
2019 Jun,Grenada(Thousand Dollars),1
2019 Jun,Greece(Thousand Dollars),27007
2019 Jun,"Germany, Federal Republic Of(Thousand Dollars)",1016793
2019 Jun,"Germany, Democratic Republic Of(Thousand Dollars)",0
2019 Jun,French Southern Territories(Thousand Dollars),18
2019 Jun,French Polynesia(Thousand Dollars),194
2019 Jun,French Guiana(Thousand Dollars),70
2019 Jun,France(Thousand Dollars),1247644
2019 Jun,Finland(Thousand Dollars),33781
2019 Jun,Fiji(Thousand Dollars),133
2019 Jun,European Union(Million Dollars),3848.5
2019 Jun,Europe(Million Dollars),6054.8
2019 Jun,Estonia(Thousand Dollars),1487
2019 Jun,Ecuador(Thousand Dollars),961
2019 Jun,Denmark(Thousand Dollars),41769
2019 Jun,Democratic People's Republic Of Korea(Thousand Dollars),0
2019 Jun,Czech Republic(Thousand Dollars),43938
2019 Jun,Cyprus(Thousand Dollars),1064
2019 Jun,Cook Islands(Thousand Dollars),0
2019 Jun,Commonwealth Of Independent States(Thousand Dollars),606095
2019 Jun,Colombia(Thousand Dollars),894
2019 Jun,Cocos (Keeling) Islands(Thousand Dollars),0
2019 Jun,Chile(Thousand Dollars),7034
2019 Jun,Canada(Thousand Dollars),191485
2019 Jun,Cambodia(Thousand Dollars),645601
2019 Jun,Brunei Darussalam(Thousand Dollars),97741
2019 Jun,Brazil(Thousand Dollars),157826
2019 Jun,Bermuda(Thousand Dollars),0
2019 Jun,Belgium(Thousand Dollars),154637
2019 Jun,Bangladesh(Thousand Dollars),24129
2019 Jun,Bahrain(Thousand Dollars),40881
2019 Jun,Bahamas(Thousand Dollars),8
2019 Jun,Austria(Thousand Dollars),69327
2019 Jun,Australia(Thousand Dollars),441907
2019 Jun,Asia(Million Dollars),26052.4
2019 Jun,Argentina(Thousand Dollars),7030
2019 Jun,Anguilla(Thousand Dollars),0
2019 Jun,America(Million Dollars),5876.4
2019 Jun,Africa(Million Dollars),492.6
2019 Jun,Afghanistan(Thousand Dollars),3
2019 Mar,Yemen(Thousand Dollars),577
2019 Mar,Yemen Democratic(Thousand Dollars),0
2019 Mar,Wallis & Fatuna Islands(Thousand Dollars),1
2019 Mar,"Vietnam, Socialist Republic Of(Thousand Dollars)",460489
2019 Mar,Venezuela(Thousand Dollars),195
2019 Mar,Uruguay(Thousand Dollars),1651
2019 Mar,United States(Thousand Dollars),4925887
2019 Mar,United Kingdom(Thousand Dollars),1080983
2019 Mar,United Arab Emirates(Thousand Dollars),952307
2019 Mar,Tuvalu(Thousand Dollars),0
2019 Mar,Trinidad & Tobago(Thousand Dollars),10
2019 Mar,Total Merchandise Imports(Thousand Dollars),40340098
2019 Mar,Thailand(Thousand Dollars),847648
2019 Mar,Taiwan(Thousand Dollars),3336366
2019 Mar,Syrian Arab Republic(Thousand Dollars),0
2019 Mar,Switzerland(Thousand Dollars),970756
2019 Mar,Sweden(Thousand Dollars),139352
2019 Mar,St Vincent & The Grenadines(Thousand Dollars),0
2019 Mar,Sri Lanka(Thousand Dollars),9740
2019 Mar,Spain(Thousand Dollars),136887
2019 Mar,South Sudan(Thousand Dollars),0
2019 Mar,Solomon Islands(Thousand Dollars),3
2019 Mar,Slovenia(Thousand Dollars),7916
2019 Mar,Slovak Republic (Slovakia)(Thousand Dollars),9460
2019 Mar,Saudi Arabia(Thousand Dollars),905511
2019 Mar,Republic Of Korea(Thousand Dollars),1848609
2019 Mar,Qatar(Thousand Dollars),544524
2019 Mar,Puerto Rico(Thousand Dollars),7203
2019 Mar,Portugal(Thousand Dollars),48791
2019 Mar,Poland(Thousand Dollars),60345
2019 Mar,Philippines(Thousand Dollars),946247
2019 Mar,Peru(Thousand Dollars),1486
2019 Mar,Paraguay(Thousand Dollars),61
2019 Mar,Papua New Guinea(Thousand Dollars),24396
2019 Mar,Panama(Thousand Dollars),446
2019 Mar,Palau(Thousand Dollars),0
2019 Mar,Pakistan(Thousand Dollars),9366
2019 Mar,Other Countries In Oceania(Thousand Dollars),328
2019 Mar,Other Countries In America(Thousand Dollars),19057
2019 Mar,Oman(Thousand Dollars),67229
2019 Mar,Oceania(Million Dollars),518.9
2019 Mar,Norway(Thousand Dollars),147057
2019 Mar,Norfolk Island(Thousand Dollars),15
2019 Mar,Niue(Thousand Dollars),0
2019 Mar,New Zealand(Thousand Dollars),137700
2019 Mar,New Caledonia(Thousand Dollars),37
2019 Mar,Netherlands(Thousand Dollars),356087
2019 Mar,Netherlands Antilles(Thousand Dollars),177
2019 Mar,Nepal(Thousand Dollars),134
2019 Mar,Nauru(Thousand Dollars),0
2019 Mar,Myanmar(Thousand Dollars),21663
2019 Mar,Micronesia(Thousand Dollars),5
2019 Mar,Mexico(Thousand Dollars),271667
2019 Mar,Malta(Thousand Dollars),20201
2019 Mar,"Maldives, Republic Of(Thousand Dollars)",78
2019 Mar,Malaysia(Thousand Dollars),4774064
2019 Mar,Mainland China(Thousand Dollars),5584684
2019 Mar,Macau(Thousand Dollars),1282
2019 Mar,Luxembourg(Thousand Dollars),7683
2019 Mar,Lithuania(Thousand Dollars),21207
2019 Mar,Liechtenstein(Thousand Dollars),1848
2019 Mar,Lebanon(Thousand Dollars),142
2019 Mar,Latvia(Thousand Dollars),2026
2019 Mar,Laos People's Democratic Republic(Thousand Dollars),773
2019 Mar,Kuwait(Thousand Dollars),240284
2019 Mar,Kiribati(Thousand Dollars),2
2019 Mar,Jordan(Thousand Dollars),1357
2019 Mar,Japan(Thousand Dollars),2456753
2019 Mar,Jamaica(Thousand Dollars),99
2019 Mar,Italy(Thousand Dollars),534335
2019 Mar,Israel(Thousand Dollars),50886
2019 Mar,Ireland(Thousand Dollars),87004
2019 Mar,Iran (Islamic Republic Of)(Thousand Dollars),600
2019 Mar,Indonesia(Thousand Dollars),1823857
2019 Mar,India(Thousand Dollars),627348
2019 Mar,Hungary(Thousand Dollars),31273
2019 Mar,Hong Kong(Thousand Dollars),539121
2019 Mar,Honduras(Thousand Dollars),176
2019 Mar,Guatemala(Thousand Dollars),1987
2019 Mar,Guam(Thousand Dollars),81
2019 Mar,Grenada(Thousand Dollars),27
2019 Mar,Greece(Thousand Dollars),11481
2019 Mar,"Germany, Federal Republic Of(Thousand Dollars)",1235641
2019 Mar,"Germany, Democratic Republic Of(Thousand Dollars)",0
2019 Mar,French Southern Territories(Thousand Dollars),0
2019 Mar,French Polynesia(Thousand Dollars),148
2019 Mar,French Guiana(Thousand Dollars),0
2019 Mar,France(Thousand Dollars),1309187
2019 Mar,Finland(Thousand Dollars),45076
2019 Mar,Fiji(Thousand Dollars),714
2019 Mar,European Union(Million Dollars),4512.9
2019 Mar,Europe(Million Dollars),7128.7
2019 Mar,Estonia(Thousand Dollars),5156
2019 Mar,Ecuador(Thousand Dollars),1284
2019 Mar,Denmark(Thousand Dollars),47250
2019 Mar,Democratic People's Republic Of Korea(Thousand Dollars),0
2019 Mar,Czech Republic(Thousand Dollars),58249
2019 Mar,Cyprus(Thousand Dollars),1101
2019 Mar,Cook Islands(Thousand Dollars),25
2019 Mar,Commonwealth Of Independent States(Thousand Dollars),412261
2019 Mar,Colombia(Thousand Dollars),1305
2019 Mar,Cocos (Keeling) Islands(Thousand Dollars),0
2019 Mar,Chile(Thousand Dollars),5472
2019 Mar,Canada(Thousand Dollars),205070
2019 Mar,Cambodia(Thousand Dollars),9991
2019 Mar,Brunei Darussalam(Thousand Dollars),6103
2019 Mar,Brazil(Thousand Dollars),79386
2019 Mar,Bermuda(Thousand Dollars),1
2019 Mar,Belgium(Thousand Dollars),222413
2019 Mar,Bangladesh(Thousand Dollars),30818
2019 Mar,Bahrain(Thousand Dollars),59696
2019 Mar,Bahamas(Thousand Dollars),6
2019 Mar,Austria(Thousand Dollars),92342
2019 Mar,Australia(Thousand Dollars),355712
2019 Mar,Asia(Million Dollars),26773.8
2019 Mar,Argentina(Thousand Dollars),6104
2019 Mar,Anguilla(Thousand Dollars),0
2019 Mar,America(Million Dollars),5528.7
2019 Mar,Africa(Million Dollars),390
2019 Mar,Afghanistan(Thousand Dollars),23
2019 May,Yemen(Thousand Dollars),395
2019 May,Yemen Democratic(Thousand Dollars),0
2019 May,Wallis & Fatuna Islands(Thousand Dollars),92
2019 May,"Vietnam, Socialist Republic Of(Thousand Dollars)",492024
2019 May,Venezuela(Thousand Dollars),253
2019 May,Uruguay(Thousand Dollars),9473
2019 May,United States(Thousand Dollars),4969192
2019 May,United Kingdom(Thousand Dollars),977237
2019 May,United Arab Emirates(Thousand Dollars),1390404
2019 May,Tuvalu(Thousand Dollars),1
2019 May,Trinidad & Tobago(Thousand Dollars),8
2019 May,Total Merchandise Imports(Thousand Dollars),42637579
2019 May,Thailand(Thousand Dollars),835547
2019 May,Taiwan(Thousand Dollars),3909567
2019 May,Syrian Arab Republic(Thousand Dollars),6
2019 May,Switzerland(Thousand Dollars),944100
2019 May,Sweden(Thousand Dollars),171022
2019 May,St Vincent & The Grenadines(Thousand Dollars),0
2019 May,Sri Lanka(Thousand Dollars),8288
2019 May,Spain(Thousand Dollars),142400
2019 May,South Sudan(Thousand Dollars),0
2019 May,Solomon Islands(Thousand Dollars),229
2019 May,Slovenia(Thousand Dollars),9747
2019 May,Slovak Republic (Slovakia)(Thousand Dollars),9115
2019 May,Saudi Arabia(Thousand Dollars),900292
2019 May,Republic Of Korea(Thousand Dollars),1639440
2019 May,Qatar(Thousand Dollars),819641
2019 May,Puerto Rico(Thousand Dollars),101159
2019 May,Portugal(Thousand Dollars),36246
2019 May,Poland(Thousand Dollars),98604
2019 May,Philippines(Thousand Dollars),759535
2019 May,Peru(Thousand Dollars),1249
2019 May,Paraguay(Thousand Dollars),77
2019 May,Papua New Guinea(Thousand Dollars),23352
2019 May,Panama(Thousand Dollars),325
2019 May,Palau(Thousand Dollars),0
2019 May,Pakistan(Thousand Dollars),7980
2019 May,Other Countries In Oceania(Thousand Dollars),396
2019 May,Other Countries In America(Thousand Dollars),16821
2019 May,Oman(Thousand Dollars),5570
2019 May,Oceania(Million Dollars),889.4
2019 May,Norway(Thousand Dollars),174721
2019 May,Norfolk Island(Thousand Dollars),7
2019 May,Niue(Thousand Dollars),0
2019 May,New Zealand(Thousand Dollars),147838
2019 May,New Caledonia(Thousand Dollars),36
2019 May,Netherlands(Thousand Dollars),510772
2019 May,Netherlands Antilles(Thousand Dollars),45
2019 May,Nepal(Thousand Dollars),156
2019 May,Nauru(Thousand Dollars),36
2019 May,Myanmar(Thousand Dollars),13753
2019 May,Micronesia(Thousand Dollars),0
2019 May,Mexico(Thousand Dollars),323641
2019 May,Malta(Thousand Dollars),19867
2019 May,"Maldives, Republic Of(Thousand Dollars)",62
2019 May,Malaysia(Thousand Dollars),5260793
2019 May,Mainland China(Thousand Dollars),5634955
2019 May,Macau(Thousand Dollars),948
2019 May,Luxembourg(Thousand Dollars),5269
2019 May,Lithuania(Thousand Dollars),7462
2019 May,Liechtenstein(Thousand Dollars),3220
2019 May,Lebanon(Thousand Dollars),46
2019 May,Latvia(Thousand Dollars),3052
2019 May,Laos People's Democratic Republic(Thousand Dollars),857
2019 May,Kuwait(Thousand Dollars),448735
2019 May,Kiribati(Thousand Dollars),0
2019 May,Jordan(Thousand Dollars),3610
2019 May,Japan(Thousand Dollars),1981295
2019 May,Jamaica(Thousand Dollars),117
2019 May,Italy(Thousand Dollars),479798
2019 May,Israel(Thousand Dollars),52915
2019 May,Ireland(Thousand Dollars),79185
2019 May,Iran (Islamic Republic Of)(Thousand Dollars),446
2019 May,Indonesia(Thousand Dollars),1768689
2019 May,India(Thousand Dollars),938917
2019 May,Hungary(Thousand Dollars),31431
2019 May,Hong Kong(Thousand Dollars),249587
2019 May,Honduras(Thousand Dollars),237
2019 May,Guatemala(Thousand Dollars),2663
2019 May,Guam(Thousand Dollars),56
2019 May,Grenada(Thousand Dollars),0
2019 May,Greece(Thousand Dollars),12964
2019 May,"Germany, Federal Republic Of(Thousand Dollars)",1201604
2019 May,"Germany, Democratic Republic Of(Thousand Dollars)",0
2019 May,French Southern Territories(Thousand Dollars),1
2019 May,French Polynesia(Thousand Dollars),177
2019 May,French Guiana(Thousand Dollars),302
2019 May,France(Thousand Dollars),1692436
2019 May,Finland(Thousand Dollars),41769
2019 May,Fiji(Thousand Dollars),381
2019 May,European Union(Million Dollars),5026.8
2019 May,Europe(Million Dollars),7987.4
2019 May,Estonia(Thousand Dollars),3752
2019 May,Ecuador(Thousand Dollars),2211
2019 May,Denmark(Thousand Dollars),89820
2019 May,Democratic People's Republic Of Korea(Thousand Dollars),0
2019 May,Czech Republic(Thousand Dollars),50969
2019 May,Cyprus(Thousand Dollars),522
2019 May,Cook Islands(Thousand Dollars),0
2019 May,Commonwealth Of Independent States(Thousand Dollars),858731
2019 May,Colombia(Thousand Dollars),1459
2019 May,Cocos (Keeling) Islands(Thousand Dollars),4
2019 May,Chile(Thousand Dollars),6371
2019 May,Canada(Thousand Dollars),213262
2019 May,Cambodia(Thousand Dollars),11162
2019 May,Brunei Darussalam(Thousand Dollars),4889
2019 May,Brazil(Thousand Dollars),143115
2019 May,Bermuda(Thousand Dollars),1
2019 May,Belgium(Thousand Dollars),220417
2019 May,Bangladesh(Thousand Dollars),31718
2019 May,Bahrain(Thousand Dollars),1723
2019 May,Bahamas(Thousand Dollars),18
2019 May,Austria(Thousand Dollars),85473
2019 May,Australia(Thousand Dollars),717052
2019 May,Asia(Million Dollars),27541
2019 May,Argentina(Thousand Dollars),5584
2019 May,Anguilla(Thousand Dollars),0
2019 May,America(Million Dollars),5797.3
2019 May,Africa(Million Dollars),422.5
2019 May,Afghanistan(Thousand Dollars),15
2019 Nov,Yemen(Thousand Dollars),365
2019 Nov,Yemen Democratic(Thousand Dollars),0
2019 Nov,Wallis & Fatuna Islands(Thousand Dollars),0
2019 Nov,"Vietnam, Socialist Republic Of(Thousand Dollars)",385030
2019 Nov,Venezuela(Thousand Dollars),145
2019 Nov,Uruguay(Thousand Dollars),2908
2019 Nov,United States(Thousand Dollars),5428504
2019 Nov,United Kingdom(Thousand Dollars),1057533
2019 Nov,United Arab Emirates(Thousand Dollars),1714638
2019 Nov,Tuvalu(Thousand Dollars),7
2019 Nov,Trinidad & Tobago(Thousand Dollars),69
2019 Nov,Total Merchandise Imports(Thousand Dollars),42489886
2019 Nov,Thailand(Thousand Dollars),743020
2019 Nov,Taiwan(Thousand Dollars),3674156
2019 Nov,Syrian Arab Republic(Thousand Dollars),1
2019 Nov,Switzerland(Thousand Dollars),793768
2019 Nov,Sweden(Thousand Dollars),100731
2019 Nov,St Vincent & The Grenadines(Thousand Dollars),26
2019 Nov,Sri Lanka(Thousand Dollars),8970
2019 Nov,Spain(Thousand Dollars),146304
2019 Nov,South Sudan(Thousand Dollars),0
2019 Nov,Solomon Islands(Thousand Dollars),145
2019 Nov,Slovenia(Thousand Dollars),4382
2019 Nov,Slovak Republic (Slovakia)(Thousand Dollars),8252
2019 Nov,Saudi Arabia(Thousand Dollars),1128559
