Country,Variables,Import
Democratic People's Republic Of Korea(Thousand Dollars),2019 Feb,0
Denmark(Thousand Dollars),2019 Feb,15066
Ecuador(Thousand Dollars),2019 Feb,8830
Estonia(Thousand Dollars),2019 Feb,2503
Europe(Million Dollars),2019 Feb,3994.3
European Union(Million Dollars),2019 Feb,3342.7
Fiji(Thousand Dollars),2019 Feb,28143
Finland(Thousand Dollars),2019 Feb,12237
France(Thousand Dollars),2019 Feb,404861
French Polynesia(Thousand Dollars),2019 Feb,5884
"Germany, Democratic Republic Of(Thousand Dollars)",2019 Feb,0
"Germany, Federal Republic Of(Thousand Dollars)",2019 Feb,678970
Greece(Thousand Dollars),2019 Feb,141543
Guam(Thousand Dollars),2019 Feb,6198
Hong Kong(Thousand Dollars),2019 Feb,4850908
Hungary(Thousand Dollars),2019 Feb,38839
India(Thousand Dollars),2019 Feb,1090491
Indonesia(Thousand Dollars),2019 Feb,2532561
Iran (Islamic Republic Of)(Thousand Dollars),2019 Feb,2843
Ireland(Thousand Dollars),2019 Feb,33801
Israel(Thousand Dollars),2019 Feb,57520
Italy(Thousand Dollars),2019 Feb,83283
Japan(Thousand Dollars),2019 Feb,1714218
Jordan(Thousand Dollars),2019 Feb,52353
Kuwait(Thousand Dollars),2019 Feb,12243
Laos People's Democratic Republic(Thousand Dollars),2019 Feb,5317
Latvia(Thousand Dollars),2019 Feb,3191
Lebanon(Thousand Dollars),2019 Feb,2590
Lithuania(Thousand Dollars),2019 Feb,718
Luxembourg(Thousand Dollars),2019 Feb,10008
Macau(Thousand Dollars),2019 Feb,19905
Mainland China(Thousand Dollars),2019 Feb,5869551
Malaysia(Thousand Dollars),2019 Feb,3882516
"Maldives, Republic Of(Thousand Dollars)",2019 Feb,20863
Malta(Thousand Dollars),2019 Feb,166880
Mexico(Thousand Dollars),2019 Feb,108947
Myanmar(Thousand Dollars),2019 Feb,271184
Nepal(Thousand Dollars),2019 Feb,9944
Netherlands(Thousand Dollars),2019 Feb,957909
New Caledonia(Thousand Dollars),2019 Feb,12519
New Zealand(Thousand Dollars),2019 Feb,263338
Oceania(Million Dollars),2019 Feb,1754
Oman(Thousand Dollars),2019 Feb,8922
Other Countries In Oceania(Thousand Dollars),2019 Feb,370900
Pakistan(Thousand Dollars),2019 Feb,113316
Papua New Guinea(Thousand Dollars),2019 Feb,54355
Paraguay(Thousand Dollars),2019 Feb,398
Peru(Thousand Dollars),2019 Feb,6442
Philippines(Thousand Dollars),2019 Feb,701982
Poland(Thousand Dollars),2019 Feb,32274
Portugal(Thousand Dollars),2019 Feb,36920
Puerto Rico(Thousand Dollars),2019 Feb,71764
Qatar(Thousand Dollars),2019 Feb,120163
Republic Of Korea(Thousand Dollars),2019 Feb,1427754
Saudi Arabia(Thousand Dollars),2019 Feb,54723
Slovak Republic (Slovakia)(Thousand Dollars),2019 Feb,2243
Slovenia(Thousand Dollars),2019 Feb,5901
Solomon Islands(Thousand Dollars),2019 Feb,1586
Spain(Thousand Dollars),2019 Feb,23879
Sri Lanka(Thousand Dollars),2019 Feb,158616
Sweden(Thousand Dollars),2019 Feb,21700
Switzerland(Thousand Dollars),2019 Feb,214076
Syrian Arab Republic(Thousand Dollars),2019 Feb,134
Taiwan(Thousand Dollars),2019 Feb,1604489
Thailand(Thousand Dollars),2019 Feb,1555895
Total Merchandise Exports(Thousand Dollars),2019 Feb,39862596
United Arab Emirates(Thousand Dollars),2019 Feb,417516
United Kingdom(Thousand Dollars),2019 Feb,285673
United States(Thousand Dollars),2019 Feb,3367504
Uruguay(Thousand Dollars),2019 Feb,2485
Venezuela(Thousand Dollars),2019 Feb,207
"Vietnam, Socialist Republic Of(Thousand Dollars)",2019 Feb,1391676
Yemen Democratic(Thousand Dollars),2019 Feb,0
Yemen(Thousand Dollars),2019 Feb,800
Afghanistan(Thousand Dollars),2019 Mar,5866
Africa(Million Dollars),2019 Mar,784.6
America(Million Dollars),2019 Mar,5281.2
Argentina(Thousand Dollars),2019 Mar,13170
Asia(Million Dollars),2019 Mar,31577.5
Australia(Thousand Dollars),2019 Mar,1355409
Austria(Thousand Dollars),2019 Mar,32495
Bahrain(Thousand Dollars),2019 Mar,17376
Bangladesh(Thousand Dollars),2019 Mar,373742
Belgium(Thousand Dollars),2019 Mar,274500
Brazil(Thousand Dollars),2019 Mar,140679
Brunei Darussalam(Thousand Dollars),2019 Mar,103675
Cambodia(Thousand Dollars),2019 Mar,357207
Canada(Thousand Dollars),2019 Mar,93027
Chile(Thousand Dollars),2019 Mar,6184
Colombia(Thousand Dollars),2019 Mar,11269
Cyprus(Thousand Dollars),2019 Mar,38629
Czech Republic(Thousand Dollars),2019 Mar,66043
Democratic People's Republic Of Korea(Thousand Dollars),2019 Mar,0
Denmark(Thousand Dollars),2019 Mar,12219
Ecuador(Thousand Dollars),2019 Mar,7724
Estonia(Thousand Dollars),2019 Mar,657
Europe(Million Dollars),2019 Mar,4421.2
European Union(Million Dollars),2019 Mar,3464.8
Fiji(Thousand Dollars),2019 Mar,49026
Finland(Thousand Dollars),2019 Mar,12681
France(Thousand Dollars),2019 Mar,535745
French Polynesia(Thousand Dollars),2019 Mar,16261
"Germany, Democratic Republic Of(Thousand Dollars)",2019 Mar,0
"Germany, Federal Republic Of(Thousand Dollars)",2019 Mar,722472
Greece(Thousand Dollars),2019 Mar,104322
Guam(Thousand Dollars),2019 Mar,45082
Hong Kong(Thousand Dollars),2019 Mar,4761017
Hungary(Thousand Dollars),2019 Mar,41298
India(Thousand Dollars),2019 Mar,1475388
Indonesia(Thousand Dollars),2019 Mar,3120155
Iran (Islamic Republic Of)(Thousand Dollars),2019 Mar,1484
Ireland(Thousand Dollars),2019 Mar,17395
Israel(Thousand Dollars),2019 Mar,84356
Italy(Thousand Dollars),2019 Mar,153453
Japan(Thousand Dollars),2019 Mar,2034145
Jordan(Thousand Dollars),2019 Mar,4600
Kuwait(Thousand Dollars),2019 Mar,22146
Laos People's Democratic Republic(Thousand Dollars),2019 Mar,9619
Latvia(Thousand Dollars),2019 Mar,3172
Lebanon(Thousand Dollars),2019 Mar,4623
Lithuania(Thousand Dollars),2019 Mar,2212
Luxembourg(Thousand Dollars),2019 Mar,15312
Macau(Thousand Dollars),2019 Mar,26268
Mainland China(Thousand Dollars),2019 Mar,5308136
Malaysia(Thousand Dollars),2019 Mar,4510503
"Maldives, Republic Of(Thousand Dollars)",2019 Mar,38458
Malta(Thousand Dollars),2019 Mar,133566
Mexico(Thousand Dollars),2019 Mar,152231
Myanmar(Thousand Dollars),2019 Mar,369015
Nepal(Thousand Dollars),2019 Mar,14168
Netherlands(Thousand Dollars),2019 Mar,950939
New Caledonia(Thousand Dollars),2019 Mar,34054
New Zealand(Thousand Dollars),2019 Mar,237109
Oceania(Million Dollars),2019 Mar,2167.6
Oman(Thousand Dollars),2019 Mar,16470
Other Countries In Oceania(Thousand Dollars),2019 Mar,359762
Pakistan(Thousand Dollars),2019 Mar,129163
Papua New Guinea(Thousand Dollars),2019 Mar,66032
Paraguay(Thousand Dollars),2019 Mar,1023
Peru(Thousand Dollars),2019 Mar,8961
Philippines(Thousand Dollars),2019 Mar,881970
Poland(Thousand Dollars),2019 Mar,35369
Portugal(Thousand Dollars),2019 Mar,35742
Puerto Rico(Thousand Dollars),2019 Mar,46370
Qatar(Thousand Dollars),2019 Mar,128465
Republic Of Korea(Thousand Dollars),2019 Mar,1890180
Saudi Arabia(Thousand Dollars),2019 Mar,255074
Slovak Republic (Slovakia)(Thousand Dollars),2019 Mar,3090
Slovenia(Thousand Dollars),2019 Mar,4731
Solomon Islands(Thousand Dollars),2019 Mar,5559
Spain(Thousand Dollars),2019 Mar,177541
Sri Lanka(Thousand Dollars),2019 Mar,146737
Sweden(Thousand Dollars),2019 Mar,41806
Switzerland(Thousand Dollars),2019 Mar,378179
Syrian Arab Republic(Thousand Dollars),2019 Mar,1417
Taiwan(Thousand Dollars),2019 Mar,1784140
Thailand(Thousand Dollars),2019 Mar,1661130
Total Merchandise Exports(Thousand Dollars),2019 Mar,44232102
United Arab Emirates(Thousand Dollars),2019 Mar,459388
United Kingdom(Thousand Dollars),2019 Mar,423984
United States(Thousand Dollars),2019 Mar,4207990
Uruguay(Thousand Dollars),2019 Mar,4405
Venezuela(Thousand Dollars),2019 Mar,346
"Vietnam, Socialist Republic Of(Thousand Dollars)",2019 Mar,1480567
Yemen Democratic(Thousand Dollars),2019 Mar,0
Yemen(Thousand Dollars),2019 Mar,1065
Afghanistan(Thousand Dollars),2019 Apr,2108
Africa(Million Dollars),2019 Apr,703.1
America(Million Dollars),2019 Apr,5023.6
Argentina(Thousand Dollars),2019 Apr,16617
Asia(Million Dollars),2019 Apr,32069.7
Australia(Thousand Dollars),2019 Apr,1405977
Austria(Thousand Dollars),2019 Apr,17023
Bahrain(Thousand Dollars),2019 Apr,33945
Bangladesh(Thousand Dollars),2019 Apr,317163
Belgium(Thousand Dollars),2019 Apr,277437
Brazil(Thousand Dollars),2019 Apr,126235
Brunei Darussalam(Thousand Dollars),2019 Apr,89014
Cambodia(Thousand Dollars),2019 Apr,461272
Canada(Thousand Dollars),2019 Apr,95090
Chile(Thousand Dollars),2019 Apr,11489
Colombia(Thousand Dollars),2019 Apr,11672
Cyprus(Thousand Dollars),2019 Apr,57420
Czech Republic(Thousand Dollars),2019 Apr,62306
Democratic People's Republic Of Korea(Thousand Dollars),2019 Apr,0
Denmark(Thousand Dollars),2019 Apr,12928
Ecuador(Thousand Dollars),2019 Apr,12303
Estonia(Thousand Dollars),2019 Apr,889
Europe(Million Dollars),2019 Apr,4107.2
European Union(Million Dollars),2019 Apr,3070.4
Fiji(Thousand Dollars),2019 Apr,38025
Finland(Thousand Dollars),2019 Apr,7670
France(Thousand Dollars),2019 Apr,475919
French Polynesia(Thousand Dollars),2019 Apr,3176
"Germany, Democratic Republic Of(Thousand Dollars)",2019 Apr,0
"Germany, Federal Republic Of(Thousand Dollars)",2019 Apr,677529
Greece(Thousand Dollars),2019 Apr,108679
Guam(Thousand Dollars),2019 Apr,22330
Hong Kong(Thousand Dollars),2019 Apr,5098394
Hungary(Thousand Dollars),2019 Apr,40267
India(Thousand Dollars),2019 Apr,1258655
Indonesia(Thousand Dollars),2019 Apr,3142459
Iran (Islamic Republic Of)(Thousand Dollars),2019 Apr,3616
Ireland(Thousand Dollars),2019 Apr,44239
Israel(Thousand Dollars),2019 Apr,90117
Italy(Thousand Dollars),2019 Apr,85858
Japan(Thousand Dollars),2019 Apr,1855603
Jordan(Thousand Dollars),2019 Apr,3362
Kuwait(Thousand Dollars),2019 Apr,19249
Laos People's Democratic Republic(Thousand Dollars),2019 Apr,3709
Latvia(Thousand Dollars),2019 Apr,3076
Lebanon(Thousand Dollars),2019 Apr,3120
Lithuania(Thousand Dollars),2019 Apr,1562
Luxembourg(Thousand Dollars),2019 Apr,19272
Macau(Thousand Dollars),2019 Apr,27571
Mainland China(Thousand Dollars),2019 Apr,5923752
Malaysia(Thousand Dollars),2019 Apr,4817283
"Maldives, Republic Of(Thousand Dollars)",2019 Apr,38784
Malta(Thousand Dollars),2019 Apr,159970
Mexico(Thousand Dollars),2019 Apr,171142
Myanmar(Thousand Dollars),2019 Apr,376783
Nepal(Thousand Dollars),2019 Apr,16310
