Country,Variables,Import
Africa(Million Dollars),2019 Jul,734.7
America(Million Dollars),2019 Jul,5209.4
Argentina(Thousand Dollars),2019 Jul,16331
Asia(Million Dollars),2019 Jul,32193.3
Australia(Thousand Dollars),2019 Jul,1188098
Austria(Thousand Dollars),2019 Jul,21604
Bahrain(Thousand Dollars),2019 Jul,16450
Bangladesh(Thousand Dollars),2019 Jul,412273
Belgium(Thousand Dollars),2019 Jul,389853
Brazil(Thousand Dollars),2019 Jul,158823
Brunei Darussalam(Thousand Dollars),2019 Jul,156786
Cambodia(Thousand Dollars),2019 Jul,136053
Canada(Thousand Dollars),2019 Jul,137938
Chile(Thousand Dollars),2019 Jul,12517
Colombia(Thousand Dollars),2019 Jul,12218
Cyprus(Thousand Dollars),2019 Jul,49255
Czech Republic(Thousand Dollars),2019 Jul,67670
Democratic People's Republic Of Korea(Thousand Dollars),2019 Jul,0
Denmark(Thousand Dollars),2019 Jul,21957
Ecuador(Thousand Dollars),2019 Jul,11037
Estonia(Thousand Dollars),2019 Jul,3609
Europe(Million Dollars),2019 Jul,5231.8
European Union(Million Dollars),2019 Jul,3346.5
Fiji(Thousand Dollars),2019 Jul,63475
Finland(Thousand Dollars),2019 Jul,9315
France(Thousand Dollars),2019 Jul,410138
French Polynesia(Thousand Dollars),2019 Jul,20526
"Germany, Democratic Republic Of(Thousand Dollars)",2019 Jul,0
"Germany, Federal Republic Of(Thousand Dollars)",2019 Jul,665181
Greece(Thousand Dollars),2019 Jul,99937
Guam(Thousand Dollars),2019 Jul,21402
Hong Kong(Thousand Dollars),2019 Jul,4619185
Hungary(Thousand Dollars),2019 Jul,37884
India(Thousand Dollars),2019 Jul,1341215
Indonesia(Thousand Dollars),2019 Jul,3296226
Iran (Islamic Republic Of)(Thousand Dollars),2019 Jul,3319
Ireland(Thousand Dollars),2019 Jul,48834
Israel(Thousand Dollars),2019 Jul,75506
Italy(Thousand Dollars),2019 Jul,79456
Japan(Thousand Dollars),2019 Jul,2169186
Jordan(Thousand Dollars),2019 Jul,4078
Kuwait(Thousand Dollars),2019 Jul,16621
Laos People's Democratic Republic(Thousand Dollars),2019 Jul,3774
Latvia(Thousand Dollars),2019 Jul,3620
Lebanon(Thousand Dollars),2019 Jul,3296
Lithuania(Thousand Dollars),2019 Jul,1748
Luxembourg(Thousand Dollars),2019 Jul,19069
Macau(Thousand Dollars),2019 Jul,16286
Mainland China(Thousand Dollars),2019 Jul,5760476
Malaysia(Thousand Dollars),2019 Jul,4632307
"Maldives, Republic Of(Thousand Dollars)",2019 Jul,27444
Malta(Thousand Dollars),2019 Jul,145366
Mexico(Thousand Dollars),2019 Jul,181901
Myanmar(Thousand Dollars),2019 Jul,364722
Nepal(Thousand Dollars),2019 Jul,18888
Netherlands(Thousand Dollars),2019 Jul,1108801
New Caledonia(Thousand Dollars),2019 Jul,61342
New Zealand(Thousand Dollars),2019 Jul,217009
Oceania(Million Dollars),2019 Jul,2021.7
Oman(Thousand Dollars),2019 Jul,12158
Other Countries In Oceania(Thousand Dollars),2019 Jul,391282
Pakistan(Thousand Dollars),2019 Jul,161736
Papua New Guinea(Thousand Dollars),2019 Jul,71312
Paraguay(Thousand Dollars),2019 Jul,554
Peru(Thousand Dollars),2019 Jul,5534
Philippines(Thousand Dollars),2019 Jul,1093895
Poland(Thousand Dollars),2019 Jul,51394
Portugal(Thousand Dollars),2019 Jul,44311
Puerto Rico(Thousand Dollars),2019 Jul,207045
Qatar(Thousand Dollars),2019 Jul,92471
Republic Of Korea(Thousand Dollars),2019 Jul,1846168
Saudi Arabia(Thousand Dollars),2019 Jul,87015
Slovak Republic (Slovakia)(Thousand Dollars),2019 Jul,1831
Slovenia(Thousand Dollars),2019 Jul,2484
Solomon Islands(Thousand Dollars),2019 Jul,5281
Spain(Thousand Dollars),2019 Jul,37808
Sri Lanka(Thousand Dollars),2019 Jul,81528
Sweden(Thousand Dollars),2019 Jul,13216
Switzerland(Thousand Dollars),2019 Jul,570868
Syrian Arab Republic(Thousand Dollars),2019 Jul,330
Taiwan(Thousand Dollars),2019 Jul,1802511
Thailand(Thousand Dollars),2019 Jul,1959371
Total Merchandise Exports(Thousand Dollars),2019 Jul,45390949
United Arab Emirates(Thousand Dollars),2019 Jul,466984
United Kingdom(Thousand Dollars),2019 Jul,695876
United States(Thousand Dollars),2019 Jul,3941283
Uruguay(Thousand Dollars),2019 Jul,917
Venezuela(Thousand Dollars),2019 Jul,246
"Vietnam, Socialist Republic Of(Thousand Dollars)",2019 Jul,1403618
Yemen Democratic(Thousand Dollars),2019 Jul,0
Yemen(Thousand Dollars),2019 Jul,1273
Afghanistan(Thousand Dollars),2019 Aug,4090
Africa(Million Dollars),2019 Aug,625.7
America(Million Dollars),2019 Aug,4837.7
Argentina(Thousand Dollars),2019 Aug,15725
Asia(Million Dollars),2019 Aug,33370.5
Australia(Thousand Dollars),2019 Aug,1214329
Austria(Thousand Dollars),2019 Aug,24850
Bahrain(Thousand Dollars),2019 Aug,9464
Bangladesh(Thousand Dollars),2019 Aug,334474
Belgium(Thousand Dollars),2019 Aug,338818
Brazil(Thousand Dollars),2019 Aug,197735
Brunei Darussalam(Thousand Dollars),2019 Aug,331927
Cambodia(Thousand Dollars),2019 Aug,87755
Canada(Thousand Dollars),2019 Aug,106867
Chile(Thousand Dollars),2019 Aug,9107
Colombia(Thousand Dollars),2019 Aug,9299
Cyprus(Thousand Dollars),2019 Aug,43445
Czech Republic(Thousand Dollars),2019 Aug,49349
Democratic People's Republic Of Korea(Thousand Dollars),2019 Aug,0
Denmark(Thousand Dollars),2019 Aug,19571
Ecuador(Thousand Dollars),2019 Aug,13751
Estonia(Thousand Dollars),2019 Aug,6518
Europe(Million Dollars),2019 Aug,4278.1
European Union(Million Dollars),2019 Aug,3033.8
Fiji(Thousand Dollars),2019 Aug,51781
Finland(Thousand Dollars),2019 Aug,10443
France(Thousand Dollars),2019 Aug,429193
French Polynesia(Thousand Dollars),2019 Aug,11390
"Germany, Democratic Republic Of(Thousand Dollars)",2019 Aug,0
"Germany, Federal Republic Of(Thousand Dollars)",2019 Aug,637776
Greece(Thousand Dollars),2019 Aug,97643
Guam(Thousand Dollars),2019 Aug,32086
Hong Kong(Thousand Dollars),2019 Aug,5317243
Hungary(Thousand Dollars),2019 Aug,32529
India(Thousand Dollars),2019 Aug,1249674
Indonesia(Thousand Dollars),2019 Aug,3192279
Iran (Islamic Republic Of)(Thousand Dollars),2019 Aug,3758
Ireland(Thousand Dollars),2019 Aug,22930
Israel(Thousand Dollars),2019 Aug,107747
Italy(Thousand Dollars),2019 Aug,75998
Japan(Thousand Dollars),2019 Aug,1853512
Jordan(Thousand Dollars),2019 Aug,5403
Kuwait(Thousand Dollars),2019 Aug,17104
Laos People's Democratic Republic(Thousand Dollars),2019 Aug,4224
Latvia(Thousand Dollars),2019 Aug,2443
Lebanon(Thousand Dollars),2019 Aug,4236
Lithuania(Thousand Dollars),2019 Aug,1977
Luxembourg(Thousand Dollars),2019 Aug,15148
Macau(Thousand Dollars),2019 Aug,18398
Mainland China(Thousand Dollars),2019 Aug,7122974
Malaysia(Thousand Dollars),2019 Aug,4416412
"Maldives, Republic Of(Thousand Dollars)",2019 Aug,34151
Malta(Thousand Dollars),2019 Aug,152751
Mexico(Thousand Dollars),2019 Aug,176862
Myanmar(Thousand Dollars),2019 Aug,326239
Nepal(Thousand Dollars),2019 Aug,16754
Netherlands(Thousand Dollars),2019 Aug,866614
New Caledonia(Thousand Dollars),2019 Aug,17348
New Zealand(Thousand Dollars),2019 Aug,290787
Oceania(Million Dollars),2019 Aug,2046
Oman(Thousand Dollars),2019 Aug,141504
Other Countries In Oceania(Thousand Dollars),2019 Aug,350832
Pakistan(Thousand Dollars),2019 Aug,92767
Papua New Guinea(Thousand Dollars),2019 Aug,75960
Paraguay(Thousand Dollars),2019 Aug,738
Peru(Thousand Dollars),2019 Aug,5220
Philippines(Thousand Dollars),2019 Aug,1024043
Poland(Thousand Dollars),2019 Aug,38673
Portugal(Thousand Dollars),2019 Aug,43577
Puerto Rico(Thousand Dollars),2019 Aug,242620
Qatar(Thousand Dollars),2019 Aug,57758
Republic Of Korea(Thousand Dollars),2019 Aug,1624531
Saudi Arabia(Thousand Dollars),2019 Aug,98057
Slovak Republic (Slovakia)(Thousand Dollars),2019 Aug,2185
Slovenia(Thousand Dollars),2019 Aug,6069
Solomon Islands(Thousand Dollars),2019 Aug,2755
Spain(Thousand Dollars),2019 Aug,28710
Sri Lanka(Thousand Dollars),2019 Aug,75956
Sweden(Thousand Dollars),2019 Aug,23005
Switzerland(Thousand Dollars),2019 Aug,422409
Syrian Arab Republic(Thousand Dollars),2019 Aug,662
Taiwan(Thousand Dollars),2019 Aug,1871820
Thailand(Thousand Dollars),2019 Aug,1649877
Total Merchandise Exports(Thousand Dollars),2019 Aug,45157925
United Arab Emirates(Thousand Dollars),2019 Aug,520245
United Kingdom(Thousand Dollars),2019 Aug,683087
United States(Thousand Dollars),2019 Aug,3421681
Uruguay(Thousand Dollars),2019 Aug,3020
Venezuela(Thousand Dollars),2019 Aug,296
"Vietnam, Socialist Republic Of(Thousand Dollars)",2019 Aug,1647922
Yemen Democratic(Thousand Dollars),2019 Aug,0
Yemen(Thousand Dollars),2019 Aug,1790
Afghanistan(Thousand Dollars),2019 Sep,4975
Africa(Million Dollars),2019 Sep,563.4
America(Million Dollars),2019 Sep,4754.5
Argentina(Thousand Dollars),2019 Sep,12063
Asia(Million Dollars),2019 Sep,32055.9
Australia(Thousand Dollars),2019 Sep,1276349
Austria(Thousand Dollars),2019 Sep,67852
Bahrain(Thousand Dollars),2019 Sep,11481
Bangladesh(Thousand Dollars),2019 Sep,503365
Belgium(Thousand Dollars),2019 Sep,463503
Brazil(Thousand Dollars),2019 Sep,169033
Brunei Darussalam(Thousand Dollars),2019 Sep,118286
Cambodia(Thousand Dollars),2019 Sep,97695
Canada(Thousand Dollars),2019 Sep,164142
Chile(Thousand Dollars),2019 Sep,12560
Colombia(Thousand Dollars),2019 Sep,9816
Cyprus(Thousand Dollars),2019 Sep,50244
Czech Republic(Thousand Dollars),2019 Sep,38096
Democratic People's Republic Of Korea(Thousand Dollars),2019 Sep,0
Denmark(Thousand Dollars),2019 Sep,12465
Ecuador(Thousand Dollars),2019 Sep,6938
Estonia(Thousand Dollars),2019 Sep,9526
Europe(Million Dollars),2019 Sep,4007.2
European Union(Million Dollars),2019 Sep,3126
Fiji(Thousand Dollars),2019 Sep,38219
Finland(Thousand Dollars),2019 Sep,13439
France(Thousand Dollars),2019 Sep,438494
French Polynesia(Thousand Dollars),2019 Sep,8264
"Germany, Democratic Republic Of(Thousand Dollars)",2019 Sep,0
"Germany, Federal Republic Of(Thousand Dollars)",2019 Sep,615005
Greece(Thousand Dollars),2019 Sep,70956
Guam(Thousand Dollars),2019 Sep,92382
Hong Kong(Thousand Dollars),2019 Sep,5117561
Hungary(Thousand Dollars),2019 Sep,34362
India(Thousand Dollars),2019 Sep,1200278
Indonesia(Thousand Dollars),2019 Sep,3122721
Iran (Islamic Republic Of)(Thousand Dollars),2019 Sep,3845
Ireland(Thousand Dollars),2019 Sep,18348
Israel(Thousand Dollars),2019 Sep,68331
Italy(Thousand Dollars),2019 Sep,99466
Japan(Thousand Dollars),2019 Sep,2100519
Jordan(Thousand Dollars),2019 Sep,4607
Kuwait(Thousand Dollars),2019 Sep,22387
Laos People's Democratic Republic(Thousand Dollars),2019 Sep,4505
Latvia(Thousand Dollars),2019 Sep,3698
Lebanon(Thousand Dollars),2019 Sep,3629
Lithuania(Thousand Dollars),2019 Sep,1682
Luxembourg(Thousand Dollars),2019 Sep,8097
Macau(Thousand Dollars),2019 Sep,17760
Mainland China(Thousand Dollars),2019 Sep,5533113
Malaysia(Thousand Dollars),2019 Sep,4542614
"Maldives, Republic Of(Thousand Dollars)",2019 Sep,28484
Malta(Thousand Dollars),2019 Sep,122496
Mexico(Thousand Dollars),2019 Sep,165753
Myanmar(Thousand Dollars),2019 Sep,316155
Nepal(Thousand Dollars),2019 Sep,16727
Netherlands(Thousand Dollars),2019 Sep,761725
New Caledonia(Thousand Dollars),2019 Sep,61596
New Zealand(Thousand Dollars),2019 Sep,203151
Oceania(Million Dollars),2019 Sep,2113.4
Oman(Thousand Dollars),2019 Sep,32672
Other Countries In Oceania(Thousand Dollars),2019 Sep,374606
Pakistan(Thousand Dollars),2019 Sep,105631
Papua New Guinea(Thousand Dollars),2019 Sep,51658
Paraguay(Thousand Dollars),2019 Sep,327
Peru(Thousand Dollars),2019 Sep,5903
Philippines(Thousand Dollars),2019 Sep,1056307
Poland(Thousand Dollars),2019 Sep,47772
Portugal(Thousand Dollars),2019 Sep,42928
Puerto Rico(Thousand Dollars),2019 Sep,199617
Qatar(Thousand Dollars),2019 Sep,53087
Republic Of Korea(Thousand Dollars),2019 Sep,1736843
Saudi Arabia(Thousand Dollars),2019 Sep,241087
Slovak Republic (Slovakia)(Thousand Dollars),2019 Sep,2405
Slovenia(Thousand Dollars),2019 Sep,2539
Solomon Islands(Thousand Dollars),2019 Sep,8949
Spain(Thousand Dollars),2019 Sep,162778
Sri Lanka(Thousand Dollars),2019 Sep,106600
Sweden(Thousand Dollars),2019 Sep,27897
Switzerland(Thousand Dollars),2019 Sep,294865
Syrian Arab Republic(Thousand Dollars),2019 Sep,476
Taiwan(Thousand Dollars),2019 Sep,2144440
Thailand(Thousand Dollars),2019 Sep,1826097
Total Merchandise Exports(Thousand Dollars),2019 Sep,43494319
United Arab Emirates(Thousand Dollars),2019 Sep,467145
United Kingdom(Thousand Dollars),2019 Sep,398734
United States(Thousand Dollars),2019 Sep,3484412
Uruguay(Thousand Dollars),2019 Sep,1670
Venezuela(Thousand Dollars),2019 Sep,158
"Vietnam, Socialist Republic Of(Thousand Dollars)",2019 Sep,1319116
Yemen Democratic(Thousand Dollars),2019 Sep,0
Yemen(Thousand Dollars),2019 Sep,2708
Afghanistan(Thousand Dollars),2019 Oct,4727
Africa(Million Dollars),2019 Oct,606.7
America(Million Dollars),2019 Oct,4938.3
Argentina(Thousand Dollars),2019 Oct,21951
Asia(Million Dollars),2019 Oct,33529.6
Australia(Thousand Dollars),2019 Oct,1762596
Austria(Thousand Dollars),2019 Oct,28668
Bahrain(Thousand Dollars),2019 Oct,49707
Bangladesh(Thousand Dollars),2019 Oct,350373
Belgium(Thousand Dollars),2019 Oct,635001
Brazil(Thousand Dollars),2019 Oct,140311
Brunei Darussalam(Thousand Dollars),2019 Oct,107349
Cambodia(Thousand Dollars),2019 Oct,129763
Canada(Thousand Dollars),2019 Oct,225200
Chile(Thousand Dollars),2019 Oct,10588
Colombia(Thousand Dollars),2019 Oct,11544
Cyprus(Thousand Dollars),2019 Oct,49486
Czech Republic(Thousand Dollars),2019 Oct,50548
Democratic People's Republic Of Korea(Thousand Dollars),2019 Oct,0
Denmark(Thousand Dollars),2019 Oct,15446
Ecuador(Thousand Dollars),2019 Oct,5133
Estonia(Thousand Dollars),2019 Oct,1518
Europe(Million Dollars),2019 Oct,5162.7
European Union(Million Dollars),2019 Oct,3736.1
Fiji(Thousand Dollars),2019 Oct,53753
Finland(Thousand Dollars),2019 Oct,7298
France(Thousand Dollars),2019 Oct,429136
French Polynesia(Thousand Dollars),2019 Oct,8924
"Germany, Democratic Republic Of(Thousand Dollars)",2019 Oct,0
"Germany, Federal Republic Of(Thousand Dollars)",2019 Oct,718934
Greece(Thousand Dollars),2019 Oct,103260
Guam(Thousand Dollars),2019 Oct,6084
Hong Kong(Thousand Dollars),2019 Oct,5318992
Hungary(Thousand Dollars),2019 Oct,32786
India(Thousand Dollars),2019 Oct,1185077
Indonesia(Thousand Dollars),2019 Oct,3275508
Iran (Islamic Republic Of)(Thousand Dollars),2019 Oct,2534
Ireland(Thousand Dollars),2019 Oct,29955
Israel(Thousand Dollars),2019 Oct,76393
Italy(Thousand Dollars),2019 Oct,75656
Japan(Thousand Dollars),2019 Oct,2270011
Jordan(Thousand Dollars),2019 Oct,3264
Kuwait(Thousand Dollars),2019 Oct,17797
Laos People's Democratic Republic(Thousand Dollars),2019 Oct,6442
Latvia(Thousand Dollars),2019 Oct,3487
Lebanon(Thousand Dollars),2019 Oct,2907
Lithuania(Thousand Dollars),2019 Oct,2342
Luxembourg(Thousand Dollars),2019 Oct,10664
Macau(Thousand Dollars),2019 Oct,21133
Mainland China(Thousand Dollars),2019 Oct,5678921
Malaysia(Thousand Dollars),2019 Oct,5128473
"Maldives, Republic Of(Thousand Dollars)",2019 Oct,53295
Malta(Thousand Dollars),2019 Oct,130799
Mexico(Thousand Dollars),2019 Oct,185124
Myanmar(Thousand Dollars),2019 Oct,362030
Nepal(Thousand Dollars),2019 Oct,14932
Netherlands(Thousand Dollars),2019 Oct,1014106
New Caledonia(Thousand Dollars),2019 Oct,22236
New Zealand(Thousand Dollars),2019 Oct,270081
Oceania(Million Dollars),2019 Oct,2591.2
Oman(Thousand Dollars),2019 Oct,20746
Other Countries In Oceania(Thousand Dollars),2019 Oct,395194
Pakistan(Thousand Dollars),2019 Oct,88448
Papua New Guinea(Thousand Dollars),2019 Oct,71587
Paraguay(Thousand Dollars),2019 Oct,616
Peru(Thousand Dollars),2019 Oct,5991
Philippines(Thousand Dollars),2019 Oct,1004326
Poland(Thousand Dollars),2019 Oct,42527
Portugal(Thousand Dollars),2019 Oct,161220
Puerto Rico(Thousand Dollars),2019 Oct,121870
Qatar(Thousand Dollars),2019 Oct,105756
Republic Of Korea(Thousand Dollars),2019 Oct,1662753
Saudi Arabia(Thousand Dollars),2019 Oct,85171
Slovak Republic (Slovakia)(Thousand Dollars),2019 Oct,2159
Slovenia(Thousand Dollars),2019 Oct,2676
Solomon Islands(Thousand Dollars),2019 Oct,2991
Spain(Thousand Dollars),2019 Oct,155891
Sri Lanka(Thousand Dollars),2019 Oct,104661
Sweden(Thousand Dollars),2019 Oct,21409
Switzerland(Thousand Dollars),2019 Oct,428867
Syrian Arab Republic(Thousand Dollars),2019 Oct,620
Taiwan(Thousand Dollars),2019 Oct,2208896
Thailand(Thousand Dollars),2019 Oct,2011601
Total Merchandise Exports(Thousand Dollars),2019 Oct,46828474
United Arab Emirates(Thousand Dollars),2019 Oct,483763
United Kingdom(Thousand Dollars),2019 Oct,805061
United States(Thousand Dollars),2019 Oct,3691126
Uruguay(Thousand Dollars),2019 Oct,3634
Venezuela(Thousand Dollars),2019 Oct,134
"Vietnam, Socialist Republic Of(Thousand Dollars)",2019 Oct,1576016
Yemen Democratic(Thousand Dollars),2019 Oct,0
Yemen(Thousand Dollars),2019 Oct,1422
Afghanistan(Thousand Dollars),2019 Nov,6804
Africa(Million Dollars),2019 Nov,432.3
America(Million Dollars),2019 Nov,4822.3
Argentina(Thousand Dollars),2019 Nov,11638
Asia(Million Dollars),2019 Nov,34252.7
Australia(Thousand Dollars),2019 Nov,1307379
Austria(Thousand Dollars),2019 Nov,21750
Bahrain(Thousand Dollars),2019 Nov,37357
Bangladesh(Thousand Dollars),2019 Nov,275683
Belgium(Thousand Dollars),2019 Nov,553449
Brazil(Thousand Dollars),2019 Nov,150256
Brunei Darussalam(Thousand Dollars),2019 Nov,124789
Cambodia(Thousand Dollars),2019 Nov,434454
Canada(Thousand Dollars),2019 Nov,85623
Chile(Thousand Dollars),2019 Nov,10514
Colombia(Thousand Dollars),2019 Nov,18540
Cyprus(Thousand Dollars),2019 Nov,33950
Czech Republic(Thousand Dollars),2019 Nov,43470
Democratic People's Republic Of Korea(Thousand Dollars),2019 Nov,0
Denmark(Thousand Dollars),2019 Nov,11415
Ecuador(Thousand Dollars),2019 Nov,10809
Estonia(Thousand Dollars),2019 Nov,411
Europe(Million Dollars),2019 Nov,4173.3
European Union(Million Dollars),2019 Nov,3288.8
Fiji(Thousand Dollars),2019 Nov,34525
Finland(Thousand Dollars),2019 Nov,8521
France(Thousand Dollars),2019 Nov,435599
French Polynesia(Thousand Dollars),2019 Nov,3309
"Germany, Democratic Republic Of(Thousand Dollars)",2019 Nov,0
"Germany, Federal Republic Of(Thousand Dollars)",2019 Nov,581154
Greece(Thousand Dollars),2019 Nov,89984
Guam(Thousand Dollars),2019 Nov,39933
Hong Kong(Thousand Dollars),2019 Nov,5305273
Hungary(Thousand Dollars),2019 Nov,39777
India(Thousand Dollars),2019 Nov,1281217
Indonesia(Thousand Dollars),2019 Nov,3305525
Iran (Islamic Republic Of)(Thousand Dollars),2019 Nov,2267
Ireland(Thousand Dollars),2019 Nov,37105
Israel(Thousand Dollars),2019 Nov,96976
Italy(Thousand Dollars),2019 Nov,63034
Japan(Thousand Dollars),2019 Nov,2012453
Jordan(Thousand Dollars),2019 Nov,5320
Kuwait(Thousand Dollars),2019 Nov,16687
Laos People's Democratic Republic(Thousand Dollars),2019 Nov,11092
Latvia(Thousand Dollars),2019 Nov,3412
Lebanon(Thousand Dollars),2019 Nov,1585
Lithuania(Thousand Dollars),2019 Nov,6362
Luxembourg(Thousand Dollars),2019 Nov,11691
Macau(Thousand Dollars),2019 Nov,16576
Mainland China(Thousand Dollars),2019 Nov,6333733
Malaysia(Thousand Dollars),2019 Nov,5188332
"Maldives, Republic Of(Thousand Dollars)",2019 Nov,24296
Malta(Thousand Dollars),2019 Nov,102310
Mexico(Thousand Dollars),2019 Nov,150497
Myanmar(Thousand Dollars),2019 Nov,349182
Nepal(Thousand Dollars),2019 Nov,14751
Netherlands(Thousand Dollars),2019 Nov,1085006
New Caledonia(Thousand Dollars),2019 Nov,42617
New Zealand(Thousand Dollars),2019 Nov,324833
Oceania(Million Dollars),2019 Nov,2078.1
Oman(Thousand Dollars),2019 Nov,38434
Other Countries In Oceania(Thousand Dollars),2019 Nov,250568
Pakistan(Thousand Dollars),2019 Nov,76267
Papua New Guinea(Thousand Dollars),2019 Nov,69967
Paraguay(Thousand Dollars),2019 Nov,1022
Peru(Thousand Dollars),2019 Nov,5532
Philippines(Thousand Dollars),2019 Nov,1129668
Poland(Thousand Dollars),2019 Nov,47416
Portugal(Thousand Dollars),2019 Nov,30275
Puerto Rico(Thousand Dollars),2019 Nov,79222
Qatar(Thousand Dollars),2019 Nov,187399
Republic Of Korea(Thousand Dollars),2019 Nov,1714793
Saudi Arabia(Thousand Dollars),2019 Nov,89410
Slovak Republic (Slovakia)(Thousand Dollars),2019 Nov,2203
Slovenia(Thousand Dollars),2019 Nov,1495
Solomon Islands(Thousand Dollars),2019 Nov,6504
Spain(Thousand Dollars),2019 Nov,35571
Sri Lanka(Thousand Dollars),2019 Nov,105578
Sweden(Thousand Dollars),2019 Nov,33017
Switzerland(Thousand Dollars),2019 Nov,301098
Syrian Arab Republic(Thousand Dollars),2019 Nov,1184
Taiwan(Thousand Dollars),2019 Nov,1916191
Thailand(Thousand Dollars),2019 Nov,2094080
Total Merchandise Exports(Thousand Dollars),2019 Nov,45758743
United Arab Emirates(Thousand Dollars),2019 Nov,445110
United Kingdom(Thousand Dollars),2019 Nov,426137
United States(Thousand Dollars),2019 Nov,3919479
Uruguay(Thousand Dollars),2019 Nov,1265
Venezuela(Thousand Dollars),2019 Nov,96
"Vietnam, Socialist Republic Of(Thousand Dollars)",2019 Nov,1508607
Yemen Democratic(Thousand Dollars),2019 Nov,0
Yemen(Thousand Dollars),2019 Nov,623
Afghanistan(Thousand Dollars),2019 Dec,5070
Africa(Million Dollars),2019 Dec,503.6
America(Million Dollars),2019 Dec,4613.7
Argentina(Thousand Dollars),2019 Dec,9361
Asia(Million Dollars),2019 Dec,34177
Australia(Thousand Dollars),2019 Dec,1256105
Austria(Thousand Dollars),2019 Dec,20887
Bahrain(Thousand Dollars),2019 Dec,8636
Bangladesh(Thousand Dollars),2019 Dec,312983
Belgium(Thousand Dollars),2019 Dec,498029
Brazil(Thousand Dollars),2019 Dec,124575
Brunei Darussalam(Thousand Dollars),2019 Dec,119698
Cambodia(Thousand Dollars),2019 Dec,434667
Canada(Thousand Dollars),2019 Dec,198126
Chile(Thousand Dollars),2019 Dec,44977
Colombia(Thousand Dollars),2019 Dec,11657
Cyprus(Thousand Dollars),2019 Dec,21506
Czech Republic(Thousand Dollars),2019 Dec,55282
Democratic People's Republic Of Korea(Thousand Dollars),2019 Dec,0
Denmark(Thousand Dollars),2019 Dec,13039
Ecuador(Thousand Dollars),2019 Dec,3451
Estonia(Thousand Dollars),2019 Dec,2382
Europe(Million Dollars),2019 Dec,3851
European Union(Million Dollars),2019 Dec,3152.4
Fiji(Thousand Dollars),2019 Dec,55117
Finland(Thousand Dollars),2019 Dec,8844
France(Thousand Dollars),2019 Dec,415758
French Polynesia(Thousand Dollars),2019 Dec,16249
"Germany, Democratic Republic Of(Thousand Dollars)",2019 Dec,0
"Germany, Federal Republic Of(Thousand Dollars)",2019 Dec,601244
Greece(Thousand Dollars),2019 Dec,52483
Guam(Thousand Dollars),2019 Dec,43387
Hong Kong(Thousand Dollars),2019 Dec,4989820
Hungary(Thousand Dollars),2019 Dec,33454
India(Thousand Dollars),2019 Dec,1320721
Indonesia(Thousand Dollars),2019 Dec,2926197
Iran (Islamic Republic Of)(Thousand Dollars),2019 Dec,1802
Ireland(Thousand Dollars),2019 Dec,51855
Israel(Thousand Dollars),2019 Dec,117934
Italy(Thousand Dollars),2019 Dec,60013
Japan(Thousand Dollars),2019 Dec,2015881
Jordan(Thousand Dollars),2019 Dec,4072
Kuwait(Thousand Dollars),2019 Dec,24475
Laos People's Democratic Republic(Thousand Dollars),2019 Dec,7954
Latvia(Thousand Dollars),2019 Dec,4258
Lebanon(Thousand Dollars),2019 Dec,2327
Lithuania(Thousand Dollars),2019 Dec,1809
Luxembourg(Thousand Dollars),2019 Dec,12166
Macau(Thousand Dollars),2019 Dec,25424
Mainland China(Thousand Dollars),2019 Dec,7002394
Malaysia(Thousand Dollars),2019 Dec,5101862
"Maldives, Republic Of(Thousand Dollars)",2019 Dec,36961
Malta(Thousand Dollars),2019 Dec,91561
Mexico(Thousand Dollars),2019 Dec,132499
Myanmar(Thousand Dollars),2019 Dec,459098
Nepal(Thousand Dollars),2019 Dec,19035
Netherlands(Thousand Dollars),2019 Dec,924561
New Caledonia(Thousand Dollars),2019 Dec,13767
New Zealand(Thousand Dollars),2019 Dec,280937
Oceania(Million Dollars),2019 Dec,1918.4
Oman(Thousand Dollars),2019 Dec,10816
Other Countries In Oceania(Thousand Dollars),2019 Dec,199764
Pakistan(Thousand Dollars),2019 Dec,98297
Papua New Guinea(Thousand Dollars),2019 Dec,50273
Paraguay(Thousand Dollars),2019 Dec,298
Peru(Thousand Dollars),2019 Dec,5727
Philippines(Thousand Dollars),2019 Dec,900240
Poland(Thousand Dollars),2019 Dec,54336
Portugal(Thousand Dollars),2019 Dec,155369
Puerto Rico(Thousand Dollars),2019 Dec,20744
Qatar(Thousand Dollars),2019 Dec,84447
Republic Of Korea(Thousand Dollars),2019 Dec,2088550
Saudi Arabia(Thousand Dollars),2019 Dec,79858
Slovak Republic (Slovakia)(Thousand Dollars),2019 Dec,1399
Slovenia(Thousand Dollars),2019 Dec,2129
Solomon Islands(Thousand Dollars),2019 Dec,4453
Spain(Thousand Dollars),2019 Dec,37653
Sri Lanka(Thousand Dollars),2019 Dec,100984
Sweden(Thousand Dollars),2019 Dec,24089
Switzerland(Thousand Dollars),2019 Dec,217621
Syrian Arab Republic(Thousand Dollars),2019 Dec,1406
Taiwan(Thousand Dollars),2019 Dec,2167073
Thailand(Thousand Dollars),2019 Dec,1630882
Total Merchandise Exports(Thousand Dollars),2019 Dec,45063716
United Arab Emirates(Thousand Dollars),2019 Dec,440782
United Kingdom(Thousand Dollars),2019 Dec,371352
United States(Thousand Dollars),2019 Dec,3812343
Uruguay(Thousand Dollars),2019 Dec,1277
